,DatabaseHaveWorkedWith,AverageSalary
0,CouchDB,3477545.9040034073
1,Neo4j,3008224.1218991536
2,Couchbase,1203800.7185740608
3,IBM DB2,1020180.4456853004
4,Cloud Firestore,940290.7723725232
5,Firebase Realtime Database,902333.4807265018
6,Cassandra,808685.4194336839
7,Firebird,774950.4468390804
8,DynamoDB,446515.23370922345
9,Oracle,311356.1222370918
10,Microsoft Access,287132.37981227046
11,Redis,247908.6684038462
12,MariaDB,238144.9541512945
13,Microsoft SQL Server,220885.09625954516
14,MongoDB,206187.70008164144
15,SQLite,205323.62795598304
16,PostgreSQL,198420.99257027835
17,MySQL,175970.8982636683
18,Elasticsearch,167703.06694678884
19,Snowflake,159128.1123054709
20,Datomic,158280.37984496125
21,DuckDB,149669.16024187452
22,TiDB,144906.26952141058
23,Cockroachdb,136541.16043478262
24,Other(s):,128501.55354449472
25,RavenDB,128184.85657370518
26,BigQuery,124945.51252481331
27,Dynamodb,124482.47240238822
28,Clickhouse,117104.21517302573
29,Solr,112404.71733403583
30,InfluxDB,112338.5983330662
31,Cosmos DB,110844.76461720685
32,Neo4J,110329.37102030584
33,Firebase,108343.58573877589
34,Couch DB,108338.23567977916
35,H2,90810.13834039976
36,Supabase,89337.92589455855
